theta,x_p_A,y_p_A,d_A,k,xi_p,eta_p,delta,tau_s,tau_ns,tau_ps,tau_log10_s,tau_ratio,phi,phi_inv2
-0.355,0.8623535111806507,-0.3475903652357843,0.9297702083043652,-0.403071780573952,8.623535111806508,-3.4759036523578426,9.297702083043651,8.878261805897813e-05,88782.61805897813,88782618.05897814,-4.051672052464482,318.0287369173651,1.618033988749895,0.38196601125010515
-0.354,0.8620063896965521,-0.3466525451080712,0.9290979511911472,-0.40214614329030857,8.62006389696552,-3.4665254510807118,9.290979511911472,8.598962568518631e-05,85989.62568518631,85989625.68518631,-4.06555394154076,308.0239425524729,1.618033988749895,0.38196601125010515
-0.353,0.8616602062059855,-0.3457143783278419,0.9284270258569317,-0.4012189211453461,8.616602062059854,-3.457143783278419,9.284270258569316,8.329160442575235e-05,83291.60442575236,83291604.42575236,-4.079398772126504,298.3593447733898,1.618033988749895,0.38196601125010515
-0.352,0.8613149610551345,-0.3447758658332631,0.9277574358626742,-0.40029011618572513,8.613149610551345,-3.4477586583326305,9.277574358626742,8.068512422665372e-05,80685.12422665372,80685124.22665372,-4.093206528001525,289.02265676348225,1.618033988749895,0.38196601125010515
-0.351,0.8609706545892443,-0.34383700856284716,0.9270891847720365,-0.3993597304740734,8.609706545892442,-3.4383700856284714,9.270891847720364,7.816688529394881e-05,78166.88529394881,78166885.29394881,-4.106977192975732,280.00205831151663,1.618033988749895,0.38196601125010515
-0.35,0.8606272871526212,-0.34289780745545134,0.9264222761513434,-0.39842776608899555,8.606272871526212,-3.428978074554513,9.264222761513434,7.573371292850936e-05,75733.71292850935,75733712.92850935,-4.120710750889169,271.2861773091238,1.618033988749895,0.38196601125010515
-0.349,0.8602848590886326,-0.34195826345027663,0.9257567135695411,-0.3974942251250823,8.602848590886326,-3.419582634502766,9.25756713569541,7.338255257351599e-05,73382.55257351599,73382552.573516,-4.134407185612069,262.86407201040413,1.618033988749895,0.38196601125010515
-0.348,0.8599433707397066,-0.341018377486867,0.9250925005981531,-0.39655910969292035,8.599433707397065,-3.4101837748686696,9.25092500598153,7.111046506565816e-05,71110.46506565817,71110465.06565815,-4.1480664810448875,254.72521402122277,1.618033988749895,0.38196601125010515
-0.347,0.8596028224473317,-0.3400781505051082,0.9244296408112376,-0.39562242191910085,8.596028224473317,-3.4007815050510817,9.244296408112374,6.89146220813633e-05,68914.6220813633,68914622.08136329,-4.161688621118347,246.85947198712046,1.618033988749895,0.38196601125010515
-0.346,0.8592632145520558,-0.3391375834452273,0.9237681377853432,-0.39468416394622896,8.592632145520557,-3.391375834452273,9.23768137785343,6.679230176976791e-05,66792.30176976792,66792301.76976791,-4.175273589793479,239.2570959501537,1.618033988749895,0.38196601125010515
-0.345,0.858924547393487,-0.33819667724779123,0.9231079950994646,-0.39374433793293134,8.58924547393487,-3.381966772477912,9.231079950994646,6.474088456450245e-05,64740.88456450245,64740884.56450245,-4.1888213710616835,231.9087023462646,1.618033988749895,0.38196601125010515
-0.344,0.8585868213102924,-0.3372554328537061,0.9224492163349983,-0.3928029460538649,8.585868213102923,-3.372554328537061,9.224492163349982,6.275784916671635e-05,62757.84916671635,62757849.16671635,-4.202331948944773,224.80525961605144,1.618033988749895,0.38196601125010515
-0.34299999999999997,0.858250036640198,-0.3363138512042162,0.9217918050756977,-0.3918599904997245,8.58250036640198,-3.3631385120421617,9.217918050756976,6.084076869209793e-05,60840.76869209793,60840768.69209793,-4.215805307494985,217.93807440298613,1.618033988749895,0.38196601125010515
-0.34199999999999997,0.8579141937199887,-0.33537193324090314,0.9211357649076269,-0.3909154734772507,8.579141937199886,-3.3537193324090313,9.21135764907627,5.898730697494176e-05,58987.30697494176,58987306.97494176,-4.229241430795081,211.2987783141921,1.618033988749895,0.38196601125010515
-0.34099999999999997,0.8575792928855069,-0.3344296799056848,0.9204810994191162,-0.3899693972092369,8.57579292885507,-3.3442967990568477,9.204810994191162,5.719521502266021e-05,57195.21502266021,57195215.02266021,-4.24264030295836,204.8793152201294,1.618033988749895,0.38196601125010515
-0.33999999999999997,0.8572453344716539,-0.33348709214081435,0.919827812200715,-0.3890217639345363,8.572453344716537,-3.334870921408143,9.19827812200715,5.5462327614380406e-05,55462.3276143804,55462327.614380404,-4.256001908128708,198.67192907040882,1.618033988749895,0.38196601125010515
-0.33899999999999997,0.8569123188123876,-0.3325441708888796,0.9191759068451454,-0.3880725759080689,8.569123188123875,-3.3254417088887958,9.191759068451454,5.378656003756724e-05,53786.560037567244,53786560.03756724,-4.269326230480659,192.66915220403018,1.618033988749895,0.38196601125010515
-0.33799999999999997,0.8565802462407242,-0.3316009170928017,0.9185253869472563,-0.3871218354008273,8.565802462407241,-3.316009170928017,9.185253869472563,5.216590495687822e-05,52165.90495687822,52165904.956878215,-4.282613254219427,186.86379413328876,1.618033988749895,0.38196601125010515
-0.33699999999999997,0.8562491170887356,-0.3306573316958343,0.9178762561039742,-0.3861695446998835,8.562491170887355,-3.3065733169583424,9.178762561039742,5.0598429409688965e-05,50598.429409688964,50598429.409688964,-4.295862963580983,181.24893078142975,1.618033988749895,0.38196601125010515
-0.33599999999999997,0.8559189316875515,-0.32971341564156276,0.9172285179142575,-0.3852157061083944,8.559189316875514,-3.2971341564156273,9.172285179142575,4.9082271922996254e-05,49082.27192299625,49082271.92299625,-4.309075342832067,175.81789415508948,1.618033988749895,0.38196601125010515
-0.33499999999999996,0.855589690367357,-0.3287691698739031,0.9165821759790473,-0.38426032194560733,8.555896903673569,-3.2876916987390308,9.165821759790473,4.7615639746603055e-05,47615.639746603054,47615639.74660306,-4.322250376270264,170.56426243327152,1.618033988749895,0.38196601125010515
-0.33399999999999996,0.8552613934573935,-0.3278245953371009,0.915937233901219,-0.3833033945468651,8.552613934573934,-3.278245953371009,9.159372339012188,4.6196806197737207e-05,46196.806197737205,46196806.19773721,-4.33538804822406,165.4818504554896,1.618033988749895,0.38196601125010515
-0.33299999999999996,0.8549340412859576,-0.3268796929757307,0.9152936952855337,-0.38234492626361133,8.549340412859575,-3.268796929757307,9.152936952855336,4.4824108112453726e-05,44824.10811245372,44824108.11245373,-4.34848834305286,160.56470059242082,1.618033988749895,0.38196601125010515
-0.33199999999999996,0.8546076341804019,-0.32593446373469476,0.9146515637385892,-0.3813849194633946,8.546076341804017,-3.2593446373469472,9.146515637385892,4.3495943399361285e-05,43495.943399361284,43495943.39936128,-4.361551245147073,155.80707398309502,1.618033988749895,0.38196601125010515
-0.33099999999999996,0.8542821724671331,-0.3249889085592223,0.9140108428687699,-0.38042337652987324,8.542821724671331,-3.2498890855922227,9.140108428687698,4.221076869142643e-05,42210.76869142643,42210768.691426426,-4.3745767389281545,151.2034421234088,1.618033988749895,0.38196601125010515
