theta_rad,theta_deg,xp_A,yp_A,d_A,k,A,B,C,G,lambda,S0,xi0,xi1,f,beta,delta,exponent,tau_p_s,Omega_rad_s,nu_tunnel_Hz
0.057595865315812844,3.2999999999999985,0.9016581833859717,0.25756402695956726,0.9377242172678059,0.2856559522283093,0.9983431914000991,0.5016568085999009,0.0862028628696499,0.9934930486734248,0.4966597052877901,1.277886208492545,0.9153544387548301,-0.21840600514002972,7.756547696315901,0.10439539600138996,9.377242172678057,170.61788410939337,9.50318203802118e+59,3.305832342283488e-60,5.261395583074756e-61
0.05794493116621169,3.319999999999997,0.9016783378440477,0.2579125104806943,0.9378393721739662,0.28603605039173324,0.9983230705649117,0.5016769294350882,0.08672297058406611,0.9933386664470664,0.49663362611956435,1.277886208492545,0.9151955997234045,-0.21843005845423774,7.760661671657992,0.10439228428622743,9.378393721739661,170.75022296793614,1.0849718064881627e+60,2.895552340441455e-60,4.608414679625642e-61
0.058293997016610644,3.340000000000002,0.9016986139445899,0.25826098694535776,0.9379547578468723,0.2864160850991705,0.9983028287000765,0.5016971712999236,0.08724303603076015,0.9931838167369907,0.49660747773618197,1.277886208492545,0.9150366902741603,-0.21845408886947104,7.764780207572395,0.10438914935643952,9.379547578468722,170.88279571737885,1.2389947938996486e+60,2.535597945251935e-60,4.035529466804984e-61
0.05864306286700949,3.3600000000000008,0.901719011685128,0.2586094563110965,0.9380703741873128,0.28679605615479753,0.9982824658154588,0.5017175341845411,0.0877630589562581,0.9930284998704322,0.496581260159729,1.277886208492545,0.9148777103364453,-0.21847809627861906,7.768903309563054,0.10438599122554784,9.380703741873127,171.01560268963811,1.4152145283354998e+60,2.2198702675026714e-60,3.5330332609577816e-61
0.05899212871740833,3.38,0.9017395310631763,0.2589579185354508,0.9381862210959241,0.2871759633628706,0.9982619819209837,0.5017380180790165,0.08828303910710728,0.992872716175568,0.49655497341235344,1.277886208492545,0.9147186598388435,-0.2185020805745603,7.773030983159261,0.1043828099071203,9.381862210959241,171.14864421760032,1.6168770174853287e+60,1.9430003764144045e-60,3.0923811433576578e-61
0.059341194567807176,3.3999999999999986,0.9017601720762347,0.2593063735759616,0.9383022984731928,0.28755580652772483,0.9982413770266343,0.5017586229733658,0.08880297622987567,0.9927164659815172,0.4965286175162657,1.277886208492545,0.9145595387091826,-0.21852604165016362,7.7771632339156085,0.10437960541477104,9.383022984731927,171.28192063512222,1.8477097713323486e+60,1.700263051228251e-60,2.7060526915948463e-61
0.05969026041820602,3.4199999999999973,0.9017809347217882,0.25965482139017065,0.9384186062194544,0.2879355854537751,0.9982206511424535,0.5017793488575466,0.08932287007115222,0.9925597496183384,0.49650219249373767,1.277886208492545,0.9144003468745385,-0.21854997939828777,7.78130006741197,0.10437637776216027,9.384186062194543,171.41543227703144,2.1119942255778586e+60,1.4875005885635072e-60,2.367430715219858e-61
0.060039326268604976,3.440000000000002,0.9018018189973069,0.2600032619356208,0.9385351442348947,0.28831529994551636,0.9981998042785426,0.5018001957214573,0.08984272037754719,0.99240256741703,0.49647569836710337,1.277886208492545,0.9142410842612403,-0.21857389371178274,7.785441489253491,0.1043731269629944,9.385351442348947,171.549179479128,2.4146492069941452e+60,1.301055509218491e-60,2.0706941552906584e-61
0.06038839211900382,3.460000000000001,0.9018228249002461,0.26035169516985535,0.9386519124195494,0.2886949498075232,0.9981788364450623,0.5018211635549376,0.09036252689569149,0.9922449197095291,0.4964491351587591,1.277886208492545,0.9140817507948763,-0.21859778448349,7.789587505070538,0.10436985303102586,9.386519124195493,171.68316257818364,2.7613271466166192e+60,1.1377111391669412e-60,1.8107235160912993e-61
0.060737457969402664,3.48,0.9018439524280463,0.2607001210504189,0.9387689106733048,0.2890745348444512,0.9981577476522322,0.5018422523477677,0.09088228937223793,0.9920868068287095,0.4964225028911628,1.277886208492545,0.9139223464002975,-0.21862165160624292,7.793738120518718,0.10436655598005305,9.387689106733047,171.81738191194455,3.1585250136894902e+60,9.946391559267982e-61,1.583017382585004e-61
0.06108652381980151,3.4999999999999987,0.9018652015781331,0.26104853953485685,0.9388861388958984,0.2894540548610367,0.9981365379103304,0.5018634620896695,0.09140200755386056,0.9919282291083814,0.4963958015868348,1.277886208492545,0.9137628710016243,-0.21864549497286767,7.797893341278824,0.1043632358239204,9.388861388958984,171.9518378191308,3.613712252557136e+60,8.693532949024202e-61,1.383618741769464e-61
0.06143558967020035,3.5199999999999974,0.9018865723479174,0.26139695058071544,0.939003596986919,0.28983350966209676,0.9981152072296946,0.5018847927703054,0.0919216811872551,0.9917691868832895,0.49636903126835713,1.277886208492545,0.9136033245222517,-0.2186693144761832,7.802053173056805,0.10435989257651823,9.39003596986919,172.08653063943711,4.135478363126136e+60,7.596685021016446e-61,1.2090499722069262e-61
0.06178465552059931,3.5400000000000023,0.9019080647347953,0.26174535414554195,0.9391212848458068,0.2902128990525301,0.9980937556207208,0.5019062443792792,0.09244131001913905,0.9916096804891126,0.496342191958374,1.277886208492545,0.9134437068848528,-0.21869311000900232,7.806217621583783,0.10435652625178261,9.391212848458068,172.22146071353455,4.733703180927793e+60,6.636649011385732e-61,1.0562554957279797e-61
0.06213372137099815,3.5600000000000014,0.9019296787361479,0.2620937501868842,0.9392392023718537,0.2905922228373167,0.9980721830938646,0.5019278169061356,0.09296089379625133,0.9914497102624635,0.49631528367959205,1.277886208492545,0.913284018011385,-0.21871688146413212,7.810386692616014,0.1043531368636957,9.392392023718536,172.3566283830708,5.419753394394386e+60,5.796560147624283e-61,9.225512004238911e-62
0.062482787221396996,3.58,0.9019514143493419,0.2624421386622914,0.9393573494642045,0.2909714808215189,0.9980504896596395,0.5019495103403604,0.09348043226535327,0.9912892765408848,0.4962883064547795,1.277886208492545,0.9131242578230959,-0.2187406287343741,7.8145603919348305,0.10434972442628505,9.393573494642045,172.49203399067076,6.206709395417152e+60,5.0616074532335135e-61,8.055798461728932e-62
0.06283185307179584,3.5999999999999988,0.9019732715717285,0.26279051952931337,0.939475726021856,0.291350672810281,0.9980286753286194,0.5019713246713805,0.09399992517322815,0.9911283796628518,0.496261260306767,1.277886208492545,0.9129644262405261,-0.21876435171252534,7.81873872534669,0.10434628895362427,9.39475726021856,172.62767787993798,7.109627206973613e+60,4.4187867551034214e-61,7.032717545437059e-62
0.06318091892219468,3.6199999999999974,0.9019952504006445,0.263138892745501,0.9395943319436584,0.29172979860882975,0.9980067401114362,0.501993259888564,0.09451937226668142,0.9909670199677683,0.49623414525844706,1.277886208492545,0.9128045231835169,-0.2187880502913785,7.822921698683084,0.10434283045983248,9.395943319436583,172.76356039545468,8.145840983022887e+60,3.856683011781506e-61,6.138101652635651e-62
